37
Mycosphaer  	0.4272	0.4289	0.4186	0.4179	0.4129	0.4124	0.4193	0.4159	0.4691	0.4652	0.4370	0.4333	0.3758	0.3774	0.3732	0.4271	0.3968	0.3839	0.3561	0.3559	0.4173	0.4105	0.4324	0.4099	0.0000	0.1470	0.3771	0.3831	0.3831	0.5064	0.5526	0.5344	0.7440	0.8110	0.9420	0.9800	0.9332
Cladospori  	0.4314	0.4332	0.4229	0.4222	0.4172	0.4167	0.4236	0.4202	0.4733	0.4695	0.4413	0.4376	0.3801	0.3817	0.3775	0.4314	0.4011	0.3882	0.3604	0.3602	0.4215	0.4148	0.4367	0.4141	0.1470	0.0000	0.3814	0.3874	0.3874	0.5107	0.5569	0.5387	0.7483	0.8153	0.9463	0.9843	0.9375
Cochliobol  	0.4088	0.4105	0.4003	0.3995	0.3946	0.3940	0.4009	0.3975	0.4507	0.4468	0.4187	0.4149	0.3574	0.3590	0.3549	0.4087	0.3785	0.3656	0.3377	0.3375	0.3989	0.3921	0.4140	0.3915	0.3771	0.3814	0.0000	0.0546	0.0948	0.4880	0.5342	0.5160	0.7256	0.7926	0.9236	0.9616	0.9149
Alternaria  	0.4148	0.4165	0.4063	0.4055	0.4006	0.4000	0.4070	0.4036	0.4567	0.4528	0.4247	0.4209	0.3635	0.3651	0.3609	0.4147	0.3845	0.3716	0.3438	0.3435	0.4049	0.3981	0.4201	0.3975	0.3831	0.3874	0.0546	0.0000	0.1009	0.4941	0.5403	0.5221	0.7317	0.7986	0.9297	0.9676	0.9209
Leptosphae  	0.4148	0.4165	0.4063	0.4055	0.4006	0.4000	0.4069	0.4035	0.4567	0.4528	0.4247	0.4209	0.3634	0.3650	0.3609	0.4147	0.3845	0.3716	0.3437	0.3435	0.4049	0.3981	0.4200	0.3975	0.3831	0.3874	0.0948	0.1009	0.0000	0.4940	0.5403	0.5220	0.7316	0.7986	0.9296	0.9676	0.9209
Tuber_mela  	0.4845	0.4863	0.4760	0.4752	0.4703	0.4698	0.4767	0.4733	0.5264	0.5225	0.4944	0.4907	0.4332	0.4348	0.4306	0.4845	0.4542	0.4413	0.4135	0.4132	0.4746	0.4679	0.4898	0.4672	0.5064	0.5107	0.4880	0.4941	0.4940	0.0000	0.3219	0.4103	0.6296	0.6966	0.8276	0.8656	0.8189
Pyronema_c 	0.5307	0.5325	0.5222	0.5215	0.5165	0.5160	0.5229	0.5195	0.5726	0.5687	0.5406	0.5369	0.4794	0.4810	0.4768	0.5307	0.5004	0.4875	0.4597	0.4594	0.5208	0.5141	0.5360	0.5134	0.5526	0.5569	0.5342	0.5403	0.5403	0.3219	0.0000	0.4565	0.6758	0.7428	0.8739	0.9118	0.8651
Orbilia_au  	0.5125	0.5143	0.5040	0.5032	0.4983	0.4978	0.5047	0.5013	0.5544	0.5505	0.5224	0.5187	0.4612	0.4628	0.4586	0.5125	0.4822	0.4693	0.4415	0.4412	0.5026	0.4959	0.5178	0.4952	0.5344	0.5387	0.5160	0.5221	0.5220	0.4103	0.4565	0.0000	0.6576	0.7246	0.8556	0.8936	0.8469
Taphrina_d  	0.7221	0.7239	0.7136	0.7128	0.7079	0.7074	0.7143	0.7109	0.7640	0.7601	0.7320	0.7283	0.6708	0.6724	0.6682	0.7221	0.6918	0.6789	0.6511	0.6508	0.7122	0.7055	0.7274	0.7048	0.7440	0.7483	0.7256	0.7317	0.7316	0.6296	0.6758	0.6576	0.0000	0.6574	0.8366	0.8746	0.8278
Schizosacc	0.7891	0.7908	0.7806	0.7798	0.7749	0.7743	0.7813	0.7779	0.8310	0.8271	0.7990	0.7952	0.7378	0.7394	0.7352	0.7890	0.7588	0.7459	0.7181	0.7178	0.7792	0.7724	0.7944	0.7718	0.8110	0.8153	0.7926	0.7986	0.7986	0.6966	0.7428	0.7246	0.6574	0.0000	0.9035	0.9415	0.8948
Debaryomyc 	0.9201	0.9219	0.9116	0.9108	0.9059	0.9054	0.9123	0.9089	0.9620	0.9581	0.9300	0.9263	0.8688	0.8704	0.8662	0.9201	0.8898	0.8769	0.8491	0.8488	0.9102	0.9035	0.9254	0.9028	0.9420	0.9463	0.9236	0.9297	0.9296	0.8276	0.8739	0.8556	0.8366	0.9035	0.0000	0.2650	0.5334
Candida_te	0.9581	0.9599	0.9496	0.9488	0.9439	0.9434	0.9503	0.9469	1.0000	0.9961	0.9680	0.9643	0.9068	0.9084	0.9042	0.9581	0.9278	0.9149	0.8871	0.8868	0.9482	0.9414	0.9634	0.9408	0.9800	0.9843	0.9616	0.9676	0.9676	0.8656	0.9118	0.8936	0.8746	0.9415	0.2650	0.0000	0.5714
Saccharomy 	0.9113	0.9131	0.9028	0.9021	0.8971	0.8966	0.9035	0.9001	0.9532	0.9494	0.9212	0.9175	0.8600	0.8616	0.8574	0.9113	0.8810	0.8681	0.8403	0.8401	0.9014	0.8947	0.9166	0.8940	0.9332	0.9375	0.9149	0.9209	0.9209	0.8189	0.8651	0.8469	0.8278	0.8948	0.5334	0.5714	0.0000
